Time,Temp,CloneID,Plate,Col,Rep,Active,propActive
480,45,2.3,B,1,4,0,0
480,45,2.3,B,1,5,0,0
480,45,2.3,B,1,6,0,0
480,45,1.5,B,2,1,2,0.08
480,45,1.5,B,2,2,1,0.1
480,45,1.5,B,2,3,1,0.1
480,45,1.2,B,3,4,1,0.111111111
480,45,1.2,B,3,5,3,0.5
480,45,1.2,B,3,6,3,0.428571429
480,45,2.5,B,4,7,0,0
480,45,2.5,B,4,8,0,0
480,45,2.5,B,4,9,0,0
480,45,1.7,B,5,4,0,0
480,45,1.7,B,5,5,0,0
480,45,1.7,B,5,6,0,0
480,45,1.5,B,6,4,4,0.307692308
480,45,1.5,B,6,5,3,0.375
480,45,1.5,B,6,6,8,0.888888889
480,45,1.7,C,1,7,0,0
480,45,1.7,C,1,8,0,0
480,45,1.7,C,1,9,0,0
480,45,1.2,C,2,7,0,0
480,45,1.2,C,2,8,0,0
480,45,1.2,C,2,9,1,0.111111111
480,45,2.4,C,3,4,0,0
480,45,2.4,C,3,5,0,0
480,45,2.4,C,3,6,0,0
480,45,1.5,C,4,7,2,0.285714286
480,45,1.5,C,4,8,0,0
480,45,1.5,C,4,9,4,0.266666667
480,45,1.7,C,5,10,0,0
480,45,1.7,C,5,11,0,0
480,45,1.7,C,5,12,0,0
480,45,2.3,C,6,7,1,0.058823529
480,45,2.3,C,6,8,0,0
480,45,2.3,C,6,9,0,0
480,45,2.3,D,1,10,0,0
480,45,2.3,D,1,11,0,0
480,45,2.3,D,1,12,0,0
480,45,1.5,D,2,10,0,0
480,45,1.5,D,2,11,2,0.125
480,45,1.5,D,2,12,1,0.142857143
480,45,2.4,D,3,7,0,0
480,45,2.4,D,3,8,0,0
480,45,2.4,D,3,9,0,0
480,45,2.5,D,4,10,0,0
480,45,2.5,D,4,11,0,0
480,45,2.5,D,4,12,1,0.043478261
480,45,1.2,D,5,10,5,0.25
480,45,1.2,D,5,11,2,0.181818182
480,45,1.2,D,5,12,2,0.181818182
480,45,2.4,D,6,10,0,0
480,45,2.4,D,6,11,0,0
480,45,2.4,D,6,12,0,0
540,47.5,2.4,A,1,1,0,0
540,47.5,2.4,A,1,2,0,0
540,47.5,2.4,A,1,3,0,0
540,47.5,2.5,A,2,1,0,0
540,47.5,2.5,A,2,2,0,0
540,47.5,2.5,A,2,3,0,0
540,47.5,1.2,A,3,1,0,0
540,47.5,1.2,A,3,2,0,0
540,47.5,1.2,A,3,3,0,0
540,47.5,2.3,A,4,1,0,0
540,47.5,2.3,A,4,2,0,0
540,47.5,2.3,A,4,3,0,0
540,47.5,2.5,A,5,4,0,0
